City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,puerto baquerizo moreno,-0.9,-89.6,80.6,78,20,11.41,EC,1588118572
325,jonesboro,35.84,-90.7,71.6,78,75,21.92,US,1588118352
326,zhigansk,66.77,123.37,21.96,91,0,18.34,RU,1588118573
327,flin flon,54.77,-101.86,44.6,42,75,4.7,CA,1588118573
328,houma,29.6,-90.72,77.0,78,75,13.87,US,1588118390
329,hargeysa,9.56,44.06,71.01,52,14,13.02,SO,1588118573
330,petropavl,54.88,69.16,54.1,80,100,12.86,KZ,1588118573
331,rossland,49.08,-117.8,64.0,33,69,1.28,CA,1588118574
332,neuquen,-38.95,-68.06,62.6,39,1,5.82,AR,1588118544
333,sao gabriel da cachoeira,-0.13,-67.09,76.77,85,66,2.35,BR,1588118438
334,cayenne,4.93,-52.33,77.0,100,75,5.82,GF,1588118574
335,ishigaki,24.34,124.16,75.2,69,20,12.75,JP,1588118574
336,edd,13.93,41.69,87.64,63,62,4.36,ER,1588118574
337,anadyr,64.75,177.48,14.0,92,75,6.71,RU,1588118575
338,filingue,14.35,3.32,93.07,15,100,6.62,NE,1588118575
339,zeya,53.75,127.27,53.76,42,92,3.44,RU,1588118575
340,surt,31.21,16.59,67.75,63,96,13.31,LY,1588118575
341,gizo,-8.1,156.84,85.95,70,100,6.51,SB,1588118576
342,labrea,-7.26,-64.8,76.66,88,97,1.25,BR,1588118303
343,tabuk,17.42,121.44,78.67,73,100,1.54,PH,1588118576
344,saint petersburg,59.89,30.26,37.0,92,90,13.42,RU,1588118576
345,saint george,37.1,-113.58,89.6,15,1,6.93,US,1588118345
346,salta,-24.79,-65.41,68.0,82,75,9.17,AR,1588118493
347,aksu,41.12,80.26,65.35,17,21,1.66,CN,1588118577
348,sao jose da coroa grande,-8.9,-35.15,78.49,85,74,8.99,BR,1588118577
349,prince rupert,54.32,-130.32,48.2,82,90,19.46,CA,1588118384
350,bertoua,4.58,13.68,69.57,79,0,1.74,CM,1588118577
351,shingu,33.73,135.98,62.6,59,0,2.24,JP,1588118578
352,katsuura,35.13,140.3,62.01,62,20,2.24,JP,1588118578
353,sai buri,6.7,101.62,78.33,82,47,5.17,TH,1588118579
354,klaksvik,62.23,-6.59,39.2,72,94,6.93,FO,1588118579
355,corum,40.5,34.75,42.28,67,0,4.27,TR,1588118580
356,ketchikan,55.34,-131.65,46.4,93,90,33.33,US,1588118580
357,abha,18.22,42.51,68.0,68,0,2.35,SA,1588118580
358,port hardy,50.7,-127.42,50.0,76,90,23.04,CA,1588118498
359,vallenar,-28.57,-70.76,62.94,37,0,2.06,CL,1588118581
360,livingston,55.9,-3.52,46.0,81,75,1.12,GB,1588118581
361,luanda,-8.84,13.23,77.0,88,20,6.93,AO,1588118467
362,chai badan,15.2,101.13,84.99,66,80,11.72,TH,1588118581
363,srednekolymsk,67.45,153.68,21.81,96,100,10.87,RU,1588118582
364,montivilliers,49.55,0.19,51.8,87,90,16.11,FR,1588118582
365,maldonado,-34.67,-54.92,70.0,88,75,23.04,UY,1588118582
366,luangwa,-15.62,30.42,63.77,82,0,2.21,ZM,1588118582
367,neyshabur,36.21,58.8,60.53,38,54,3.74,IR,1588118582
368,slobozia,46.73,29.71,53.6,40,98,17.22,MD,1588118583
369,polovinnoye,54.79,65.99,48.22,71,67,13.51,RU,1588118583
370,suslovo,56.22,88.12,57.16,77,100,10.83,RU,1588118583
371,grindavik,63.84,-22.43,39.2,80,0,9.17,IS,1588118583
372,rawson,-43.3,-65.1,58.6,74,12,10.71,AR,1588118584
373,santa luzia,-19.77,-43.85,66.2,63,0,5.82,BR,1588118584
374,antigonish,45.62,-62.0,35.01,94,100,3.0,CA,1588118585
375,juneau,58.3,-134.42,46.4,70,90,10.29,US,1588118585
376,byron bay,-28.65,153.62,68.0,93,75,3.36,AU,1588118585
377,islamkot,24.7,70.18,78.78,57,0,10.18,PK,1588118585
378,marienburg,54.04,19.03,46.0,86,83,1.99,PL,1588118586
379,alikalia,9.17,-11.4,73.31,78,98,1.7,SL,1588118586
380,bend,44.06,-121.32,77.0,20,1,8.05,US,1588118369
381,camocim,-2.9,-40.84,78.49,86,100,9.51,BR,1588118586
